,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
16633,2019.12.18,09:30:00,32810,32810,32800,32800,20,30430,1,2019-12-18 09:30:00
16634,2019.12.18,09:35:00,32800,32810,32781,32785,20,34181,10,2019-12-18 09:35:00
16635,2019.12.18,09:40:00,32785,32870,32785,32870,20,7848,14,2019-12-18 09:40:00
16636,2019.12.18,09:45:00,32876,32900,32876,32882,13,3116,1,2019-12-18 09:45:00
16637,2019.12.18,09:50:00,32880,32970,32800,32950,23,11337,10,2019-12-18 09:50:00
16638,2019.12.18,09:55:00,32950,32950,32800,32889,21,5618,7,2019-12-18 09:55:00
16639,2019.12.18,10:00:00,32882,32900,32882,32900,16,7458,1,2019-12-18 10:00:00
16640,2019.12.18,10:05:00,32950,33255,32950,33230,23,20707,5,2019-12-18 10:05:00
16641,2019.12.18,10:10:00,33230,33258,33230,33239,7,3844,18,2019-12-18 10:10:00
16642,2019.12.18,10:15:00,33240,33258,33239,33240,12,3073,5,2019-12-18 10:15:00
16643,2019.12.18,10:20:00,33258,33290,33237,33290,17,16849,1,2019-12-18 10:20:00
16644,2019.12.18,10:25:00,33289,33350,33280,33280,18,36221,1,2019-12-18 10:25:00
16645,2019.12.18,10:30:00,33399,33631,33399,33631,43,63694,1,2019-12-18 10:30:00
16646,2019.12.18,10:35:00,33650,33780,33631,33749,26,11935,1,2019-12-18 10:35:00
16647,2019.12.18,10:40:00,33700,33790,33627,33790,17,4593,1,2019-12-18 10:40:00
16648,2019.12.18,10:45:00,33790,34235,33790,34235,65,66389,1,2019-12-18 10:45:00
16649,2019.12.18,10:50:00,34235,34350,34235,34308,52,59360,1,2019-12-18 10:50:00
16650,2019.12.18,10:55:00,34308,34308,34250,34270,44,44888,5,2019-12-18 10:55:00
16651,2019.12.18,11:00:00,34270,34290,34100,34100,34,30326,2,2019-12-18 11:00:00
16652,2019.12.18,11:05:00,34090,34101,34000,34001,23,9128,10,2019-12-18 11:05:00
16653,2019.12.18,11:10:00,33905,34099,33903,34000,12,4608,86,2019-12-18 11:10:00
16654,2019.12.18,11:15:00,33914,34000,33914,33951,13,8349,46,2019-12-18 11:15:00
16655,2019.12.18,11:20:00,33951,33997,33950,33960,14,14934,3,2019-12-18 11:20:00
16656,2019.12.18,11:25:00,33960,33999,33960,33999,24,56462,3,2019-12-18 11:25:00
16657,2019.12.18,11:30:00,33999,33999,33996,33998,4,5380,3,2019-12-18 11:30:00
16658,2019.12.18,11:35:00,33992,33995,33940,33952,26,24954,1,2019-12-18 11:35:00
16659,2019.12.18,11:40:00,33952,33952,33932,33932,13,2785,1,2019-12-18 11:40:00
16660,2019.12.18,11:45:00,33932,33932,33799,33811,29,17977,4,2019-12-18 11:45:00
16661,2019.12.18,11:50:00,33811,33900,33700,33701,13,16903,82,2019-12-18 11:50:00
16662,2019.12.18,11:55:00,33752,33918,33751,33918,6,1682,1,2019-12-18 11:55:00
16663,2019.12.18,12:00:00,33918,33920,33771,33781,16,54064,1,2019-12-18 12:00:00
16664,2019.12.18,12:05:00,33781,33900,33780,33900,9,3870,1,2019-12-18 12:05:00
16665,2019.12.18,12:10:00,33900,33900,33900,33900,3,946,76,2019-12-18 12:10:00
16666,2019.12.18,12:15:00,33900,33910,33780,33800,27,22792,5,2019-12-18 12:15:00
16667,2019.12.18,12:20:00,33800,33898,33800,33890,15,5190,1,2019-12-18 12:20:00
16668,2019.12.18,12:25:00,33800,33890,33770,33770,29,35902,9,2019-12-18 12:25:00
16669,2019.12.21,09:00:00,34500,34500,33785,33785,8,1179,565,2019-12-21 09:00:00
16670,2019.12.21,09:05:00,34350,34350,33813,33815,20,17748,1,2019-12-21 09:05:00
16671,2019.12.21,09:10:00,34000,34000,33700,33969,40,16211,25,2019-12-21 09:10:00
16672,2019.12.21,09:15:00,34000,34000,33814,33820,14,1915,6,2019-12-21 09:15:00
16673,2019.12.21,09:20:00,33830,33980,33700,33700,20,28448,150,2019-12-21 09:20:00
16674,2019.12.21,09:25:00,33701,33950,33700,33920,21,37238,9,2019-12-21 09:25:00
16675,2019.12.21,09:30:00,33930,33930,33660,33660,28,36420,1,2019-12-21 09:30:00
16676,2019.12.21,09:35:00,33661,33662,33645,33650,22,40148,4,2019-12-21 09:35:00
16677,2019.12.21,09:40:00,33620,33900,33620,33900,4,1277,200,2019-12-21 09:40:00
16678,2019.12.21,09:45:00,33900,33900,33800,33898,5,5344,93,2019-12-21 09:45:00
16679,2019.12.21,09:50:00,33850,33898,33714,33715,14,6268,5,2019-12-21 09:50:00
16680,2019.12.21,09:55:00,33720,33895,33714,33714,20,21655,1,2019-12-21 09:55:00
16681,2019.12.21,10:00:00,33715,33715,33610,33715,30,28918,1,2019-12-21 10:00:00
16682,2019.12.21,10:05:00,33715,33715,33713,33713,11,4778,1,2019-12-21 10:05:00
16683,2019.12.21,10:10:00,33714,33880,33620,33620,17,9592,1,2019-12-21 10:10:00
16684,2019.12.21,10:15:00,33621,33751,33600,33650,30,39040,21,2019-12-21 10:15:00
16685,2019.12.21,10:20:00,33650,33650,33501,33650,7,9409,19,2019-12-21 10:20:00
16686,2019.12.21,10:25:00,33550,33552,33550,33552,7,1049,1,2019-12-21 10:25:00
16687,2019.12.21,10:30:00,33643,33643,33553,33553,11,1234,1,2019-12-21 10:30:00
16688,2019.12.21,10:35:00,33639,33640,33550,33550,19,6028,1,2019-12-21 10:35:00
16689,2019.12.21,10:40:00,33532,33550,33530,33550,14,5816,1,2019-12-21 10:40:00
16690,2019.12.21,10:45:00,33549,33550,33536,33549,13,2844,1,2019-12-21 10:45:00
16691,2019.12.21,10:50:00,33550,33550,33540,33550,15,10797,1,2019-12-21 10:50:00
16692,2019.12.21,10:55:00,33544,33550,33544,33550,10,6526,1,2019-12-21 10:55:00
16693,2019.12.21,11:00:00,33549,33550,33543,33544,15,5173,1,2019-12-21 11:00:00
16694,2019.12.21,11:05:00,33545,33549,33544,33545,17,18528,1,2019-12-21 11:05:00
16695,2019.12.21,11:10:00,33545,33545,33540,33543,23,25218,1,2019-12-21 11:10:00
16696,2019.12.21,11:15:00,33544,33545,33543,33543,36,11754,1,2019-12-21 11:15:00
16697,2019.12.21,11:20:00,33543,33549,33539,33540,39,13817,1,2019-12-21 11:20:00
16698,2019.12.21,11:25:00,33540,33550,33539,33550,13,1560,1,2019-12-21 11:25:00
16699,2019.12.21,11:30:00,33550,33550,33536,33550,18,4104,1,2019-12-21 11:30:00
16700,2019.12.21,11:35:00,33539,33550,33500,33530,31,11561,1,2019-12-21 11:35:00
16701,2019.12.21,11:40:00,33501,33501,33450,33450,13,5368,29,2019-12-21 11:40:00
16702,2019.12.21,11:45:00,33499,33499,33461,33461,19,1529,1,2019-12-21 11:45:00
16703,2019.12.21,11:50:00,33460,33460,33331,33400,29,7999,1,2019-12-21 11:50:00
16704,2019.12.21,11:55:00,33335,33399,33302,33302,20,5481,1,2019-12-21 11:55:00
16705,2019.12.21,12:00:00,33302,33398,33302,33398,7,2923,1,2019-12-21 12:00:00
16706,2019.12.21,12:05:00,33352,33398,33352,33398,6,9004,1,2019-12-21 12:05:00
16707,2019.12.21,12:10:00,33399,33461,33399,33461,24,16570,1,2019-12-21 12:10:00
16708,2019.12.21,12:15:00,33480,33500,33480,33500,21,28628,5,2019-12-21 12:15:00
16709,2019.12.21,12:20:00,33500,33599,33500,33599,9,2688,3,2019-12-21 12:20:00
16710,2019.12.21,12:25:00,33565,33596,33500,33505,19,11991,2,2019-12-21 12:25:00
16711,2019.12.22,09:00:00,33500,33500,33111,33111,6,2513,0,2019-12-22 09:00:00
16712,2019.12.22,09:05:00,33170,33499,33145,33499,20,17708,1,2019-12-22 09:05:00
16713,2019.12.22,09:10:00,33151,33498,33120,33498,22,33096,24,2019-12-22 09:10:00
16714,2019.12.22,09:15:00,33465,33468,33146,33151,16,5252,3,2019-12-22 09:15:00
16715,2019.12.22,09:20:00,33153,33460,33153,33170,4,392,289,2019-12-22 09:20:00
16716,2019.12.22,09:25:00,33170,33459,33170,33459,3,1119,231,2019-12-22 09:25:00
16717,2019.12.22,09:30:00,33459,33459,33449,33455,4,655,142,2019-12-22 09:30:00
16718,2019.12.22,09:35:00,33444,33444,33302,33444,7,4363,53,2019-12-22 09:35:00
16719,2019.12.22,09:40:00,33350,33399,33302,33302,9,4618,1,2019-12-22 09:40:00
16720,2019.12.22,09:45:00,33303,33399,33302,33399,12,6557,1,2019-12-22 09:45:00
16721,2019.12.22,09:50:00,33420,33442,33420,33440,4,3108,1,2019-12-22 09:50:00
16722,2019.12.22,09:55:00,33441,33520,33441,33445,18,12777,1,2019-12-22 09:55:00
16723,2019.12.22,10:00:00,33447,33505,33441,33503,23,16079,1,2019-12-22 10:00:00
16724,2019.12.22,10:05:00,33504,33890,33504,33890,22,11812,1,2019-12-22 10:05:00
16725,2019.12.22,10:10:00,33890,33890,33830,33840,27,60289,1,2019-12-22 10:10:00
16726,2019.12.22,10:15:00,33801,33887,33801,33850,8,4091,13,2019-12-22 10:15:00
16727,2019.12.22,10:20:00,33805,33805,33651,33651,15,18824,44,2019-12-22 10:20:00
16728,2019.12.22,10:25:00,33656,33799,33652,33799,6,966,47,2019-12-22 10:25:00
16729,2019.12.22,10:30:00,33847,33850,33800,33800,19,10939,1,2019-12-22 10:30:00
16730,2019.12.22,10:35:00,33800,33800,33701,33701,20,9432,1,2019-12-22 10:35:00
16731,2019.12.22,10:40:00,33701,33750,33701,33720,7,9756,16,2019-12-22 10:40:00
16732,2019.12.22,10:45:00,33720,33720,33304,33304,43,28714,15,2019-12-22 10:45:00
16733,2019.12.22,10:50:00,33305,33305,33202,33304,35,43982,1,2019-12-22 10:50:00
16734,2019.12.22,10:55:00,33640,33640,33640,33640,4,1286,358,2019-12-22 10:55:00
16735,2019.12.22,11:00:00,33598,33598,33246,33592,13,13377,1,2019-12-22 11:00:00
16736,2019.12.22,11:05:00,33400,33410,33400,33400,5,950,99,2019-12-22 11:05:00
16737,2019.12.22,11:10:00,33400,33400,33300,33301,27,30521,1,2019-12-22 11:10:00
16738,2019.12.22,11:15:00,33399,33399,33299,33301,16,85170,1,2019-12-22 11:15:00
16739,2019.12.22,11:20:00,33300,33399,33256,33257,21,5230,1,2019-12-22 11:20:00
16740,2019.12.22,11:25:00,33257,33299,33257,33261,7,18108,1,2019-12-22 11:25:00
16741,2019.12.22,11:30:00,33280,33280,33262,33263,10,7296,7,2019-12-22 11:30:00
16742,2019.12.22,11:35:00,33263,33263,33250,33250,27,31599,1,2019-12-22 11:35:00
16743,2019.12.22,11:40:00,33250,33259,33250,33259,15,17078,1,2019-12-22 11:40:00
16744,2019.12.22,11:45:00,33260,33270,33260,33260,10,8213,3,2019-12-22 11:45:00
16745,2019.12.22,11:50:00,33260,33260,33257,33258,14,3778,1,2019-12-22 11:50:00
