,Unnamed: 0,ticker,pe,tmin,tmax,cs,bvol
62,62,ثشرق,21.53,5320,5880,70,2808989
63,63,غمهرا,16.07,63280,69940,42,236855
64,64,ریشمک,75.39,43461,48035,43,340113
65,65,آریان,16.9,14572,16104,56,6280224
66,66,سشمال,12.48,9210,10170,53,1552795
67,67,ومعلم,5.5,3810,4210,66,3749063
68,68,وپخش,9.43,25430,28090,43,1420000
69,69,پکویر,9.68,13410,14810,25,1069900
70,70,زکشت,31.08,24719,27321,1,579442
71,71,ورنا,7.81,4370,4830,34,3260161
72,72,وخارزم,5.8,5420,5980,56,7480000
73,73,خاهن,15.72,7540,8320,34,3641195
74,74,ثاصفا,1240.9,23581,26063,70,402934
75,75,بکهنوج,9.35,1718,1898,40,8537280
76,76,شاراک,6.61,35690,39430,44,2568053
77,77,شپنا,6.51,11630,12850,23,9441385
78,78,وگردش,27.27,13471,14303,57,6000000
79,79,بالاس,149.5,38973,43075,45,382947
80,80,فگستر,14.06,13836,15292,27,1003412
81,81,دزهراوی,34.69,5830,6430,43,2442997
82,82,کطبس,8.54,53450,59070,10,277008
83,83,فسپا,5.49,39230,43350,27,358852
84,84,وایرا,6.42,7505,7969,56,1330495
85,85,ذوب,10.67,4029,4453,27,24601416
86,86,پارسیان,18.44,8550,9450,66,2000000
87,87,وپاسار,9.16,14820,16380,57,7817590
88,88,کپارس,10.56,97870,108170,49,150270
89,89,وشمال,-365.03,85333,90611,56,113673
91,91,آبین,24.51,2558,2662,1,1888931
92,92,زگلدشت,18.94,10982,12138,1,1344568
93,93,وملت,-56.39,4155,4323,56,1182313
94,94,گدنا,79.13,20577,22743,55,681881
95,95,پسهند,9.21,29350,32430,25,487964
96,96,نگین,,10,99560,68,1
97,97,سیتا,10.5,13310,14710,53,4400000
98,98,وسخراج,-79.21,2108,2328,56,24559528
100,100,کابگن,-4.98,5229,5441,54,468516
101,101,فیروزا,,22115,27029,68,1
103,103,قاروم,1.15,1613,1711,38,6016848
104,104,نبروج,-6.12,5703,5935,17,859255
105,105,تملت,9.24,4355,4813,67,4400000
106,106,وسکاب,2.21,2603,2875,56,5345688
107,107,ولملت,10.54,4650,5130,58,2952756
108,108,اطلس,1336.29,218792,267412,68,1
109,109,دسینا,14.12,21200,23420,43,675068
110,110,وپسا,209.67,1821,1895,45,2649709
111,111,شپاکسا,10.09,18950,20930,44,761808
112,112,وبیمه,13.19,1661,1835,56,8488964
113,113,وسصفا,-1.26,856,946,56,92500168
114,114,سرود,9.03,22890,25290,53,627615
116,116,زنجان,445.55,8769,9311,44,1400000
117,117,چدن,11.51,3809,4209,28,3701876
118,118,داسوه,19.77,28310,31290,43,486066
119,119,گوهر,,51765,63267,68,1
120,120,پخش,15.69,19606,21668,43,707548
121,121,بهپاک,17.71,7106,7854,42,1956182
122,122,خریخت,21.35,2819,3115,34,5053908
123,123,وحکمت,173.48,4171,4429,66,2305742
124,124,فسازان,10.63,27520,30400,27,505391
125,125,ولراز,-409.2,32581,34595,65,298028
126,126,نهال,,8968,10960,68,1
127,127,ثقزوی,-223.09,30097,33265,70,315667
128,128,سصوفی,12.31,17560,19400,53,777605
129,129,زاگرس,7.79,209000,230998,44,433648
130,130,درهآور,11.13,26042,28782,43,540833
131,131,حسیر,-258.26,22680,25066,60,611372
133,133,فراز,,10989,13429,68,1
134,134,وبشهر,17.61,11570,12770,42,3300000
135,135,شنفت,13.01,55340,61160,23,1000000
136,136,سنیر,41.04,144220,159400,53,99668
137,137,غگلپا,29.59,65141,71997,42,223298
138,138,قهکمت,16.51,32940,36400,38,414136
139,139,سیلام,74.91,7780,8580,53,1820388
140,140,ثبهساز,15.1,2086,2304,70,8052315
141,141,فولای,8.37,20915,23115,27,681354
142,142,زملارد,34.17,27930,30870,1,520798
143,143,خلنت,28.76,55290,61090,34,245861
144,144,دتهران‌,4.8,18604,19362,43,263394
145,145,پردیس,4.11,4741,5239,56,2922268
146,146,پارتین,,376200,459800,68,1
147,147,قزوین,24.24,26970,29790,38,538600
148,148,افق ملت,,129850,158690,68,1
149,149,سکرما,10.19,16010,17690,53,852757
150,150,سفارس,10.3,20760,22940,53,2250000
151,151,ثعمرا,10.85,9226,10196,70,1510575
152,152,مادیرا,9.81,7068,7810,26,3280000
153,153,سکارون,70.86,97886,103940,53,98824
154,154,ساروم,7.76,36760,40620,53,382360
155,155,کارین,,9061,11073,68,1
156,156,خاور,1.95,7351,7805,34,1995624
157,157,حپترو,-117.33,50500,55800,60,282220
158,158,کخاک,12.98,35270,38970,54,600000
159,159,غفارس,-64.39,16290,18004,42,916815
160,160,لطیف,12.75,52364,57874,21,275028
161,161,بمیلا,14.51,14550,15450,46,687002
163,163,شفارا,24.39,5070,5382,44,1871959
164,164,ثالوند,22.86,27093,29943,70,526150
165,165,شاملا,11.53,36110,39910,44,398406
166,166,غبهنوش,17.25,57250,63270,42,251931
167,167,سپر,,11166,13646,68,1
168,168,وآتوس,-596.76,28702,30476,65,328570
169,169,واحیا,39.08,183075,194399,65,400000
170,170,خمهر,17.48,2177,2405,34,6501951
171,171,وتوسم,3.96,7450,8230,56,1845018
172,172,آ س پ,38.97,8179,9039,70,1702998
173,173,آتی,,723600,884400,68,1
174,174,ثاخت,19.05,2108,2328,70,6846189
175,175,خنصیر,59.05,11160,12320,34,1266892
176,176,ثغرب,42.59,5355,5917,70,2751789
177,177,آوا,,6471,7907,68,1
178,178,کچاد,7.68,27610,30510,13,3968254
179,179,وبهمن,7.68,14810,16350,56,1100000
180,180,دتولید,28.62,12495,13809,43,1159645
181,181,دفرا,9.74,25870,28590,43,526316
182,182,شصفها,14.05,129645,134935,44,120000
183,183,غپینو,22.03,4960,5480,42,2884615
184,184,ثامید,18.67,1662,1836,70,14126800
185,185,امید,14.77,4940,5460,67,3800000
186,186,خاتم,,10492,12822,68,1
187,187,ثرود,59.61,16205,17909,70,855969
188,188,ویسرو,,169871,194642,68,1
190,190,نوری,6.3,87870,97110,44,1032418
191,191,خکمک,436.05,16210,17910,34,905250
192,192,تایرا,11.06,21900,24200,29,1280000
193,193,خبازرس,1.76,21927,23283,71,430441
194,194,وهامون,2.11,2195,2425,56,6185568
195,195,فالوم,18.04,17252,19068,27,559880
196,196,کفپارس,15.32,2906,3210,54,4848093
197,197,وزمین,-0.73,9858,10678,57,1600000
198,198,دکیمی,14.77,20330,22450,43,706880
199,199,سجام,30.3,3592,3814,53,2705628
200,200,بنیرو,9.51,2243,2479,31,6602113
201,201,غشهد,16.96,4471,4941,42,3275824
202,202,کسرام,-158.18,6380,7040,54,2155172
203,203,شپدیس,7.87,134900,149100,44,681199
204,204,فاراک,66.68,1770,1956,28,8255091
